,,,,All Type of Report (All Grades) for 09-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Onion,04-10-2021,651.00,Metric Tonnes,2247.77,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,05-10-2021,250.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,06-10-2021,533.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,08-10-2021,508.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,09-10-2021,451.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,11-10-2021,231.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,12-10-2021,256.00,Metric Tonnes,3150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,13-10-2021,380.00,Metric Tonnes,2900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,14-10-2021,257.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,16-10-2021,461.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,18-10-2021,360.00,Metric Tonnes,2397.08,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,20-10-2021,693.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,21-10-2021,234.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,22-10-2021,305.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,23-10-2021,339.00,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,25-10-2021,333.00,Metric Tonnes,1648.20,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,26-10-2021,218.00,Metric Tonnes,1850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,27-10-2021,389.00,Metric Tonnes,2150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,28-10-2021,216.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,29-10-2021,178.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,30-10-2021,342.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-11-2021,358.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,02-11-2021,46.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,08-11-2021,458.00,Metric Tonnes,2050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,09-11-2021,186.00,Metric Tonnes,2050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,10-11-2021,293.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,11-11-2021,204.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,12-11-2021,282.00,Metric Tonnes,1850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,13-11-2021,1.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,15-11-2021,932.00,Metric Tonnes,2050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,16-11-2021,161.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,17-11-2021,269.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,18-11-2021,179.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,20-11-2021,380.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,22-11-2021,163.00,Metric Tonnes,1600.00,Rs./Quintal
