,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Tomato,04-01-2022,10.00,Metric Tonnes,1975.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,06-01-2022,3.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,07-01-2022,5.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-01-2022,2.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-01-2022,6.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,10-01-2022,3.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-01-2022,7.00,Metric Tonnes,1721.43,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-01-2022,3.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-01-2022,5.00,Metric Tonnes,2376.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,17-01-2022,4.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-01-2022,8.00,Metric Tonnes,1843.75,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-01-2022,5.00,Metric Tonnes,1530.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-01-2022,8.00,Metric Tonnes,1612.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-01-2022,2.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-01-2022,4.00,Metric Tonnes,1775.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,24-01-2022,4.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-01-2022,6.00,Metric Tonnes,2283.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-01-2022,4.00,Metric Tonnes,2225.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-01-2022,8.00,Metric Tonnes,2237.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,29-01-2022,3.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-01-2022,6.00,Metric Tonnes,1925.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-02-2022,7.00,Metric Tonnes,1785.71,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,03-02-2022,4.00,Metric Tonnes,1775.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-02-2022,8.00,Metric Tonnes,1956.25,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-02-2022,4.00,Metric Tonnes,1750.00,Rs./Quintal
