,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Kolhapur,Vegetables,Tomato,09-06-2021,68.00,Metric Tonnes,691.91,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-06-2021,66.00,Metric Tonnes,754.55,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-06-2021,12.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-06-2021,106.00,Metric Tonnes,694.81,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-06-2021,28.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-06-2021,65.00,Metric Tonnes,713.85,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-06-2021,33.00,Metric Tonnes,734.85,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-06-2021,74.00,Metric Tonnes,772.30,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,17-06-2021,41.00,Metric Tonnes,786.59,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-06-2021,11.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-06-2021,67.00,Metric Tonnes,770.15,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-06-2021,26.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,21-06-2021,66.00,Metric Tonnes,859.09,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,22-06-2021,68.00,Metric Tonnes,783.09,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,23-06-2021,86.00,Metric Tonnes,765.70,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,24-06-2021,62.00,Metric Tonnes,771.77,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-06-2021,9.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,26-06-2021,91.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,27-06-2021,24.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-06-2021,65.00,Metric Tonnes,727.69,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-06-2021,35.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,30-06-2021,69.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,01-07-2021,69.00,Metric Tonnes,793.48,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-07-2021,21.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-07-2021,115.00,Metric Tonnes,766.09,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-07-2021,40.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-07-2021,83.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-07-2021,74.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-07-2021,56.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-07-2021,55.00,Metric Tonnes,880.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-07-2021,21.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-07-2021,78.00,Metric Tonnes,584.62,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-07-2021,21.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-07-2021,57.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-07-2021,46.00,Metric Tonnes,740.22,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-07-2021,57.00,Metric Tonnes,781.58,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-07-2021,37.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-07-2021,9.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,17-07-2021,53.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-07-2021,22.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-07-2021,80.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-07-2021,52.00,Metric Tonnes,965.38,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,22-07-2021,70.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,23-07-2021,6.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,24-07-2021,1.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-07-2021,3.00,Metric Tonnes,3000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,26-07-2021,16.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,27-07-2021,63.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-07-2021,50.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-07-2021,87.00,Metric Tonnes,857.47,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,31-07-2021,90.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,01-08-2021,22.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-08-2021,71.00,Metric Tonnes,830.99,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-08-2021,56.00,Metric Tonnes,816.07,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-08-2021,76.00,Metric Tonnes,855.92,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-08-2021,11.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-08-2021,9.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-08-2021,69.00,Metric Tonnes,900.72,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-08-2021,36.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-08-2021,88.00,Metric Tonnes,872.16,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-08-2021,57.00,Metric Tonnes,781.58,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-08-2021,77.00,Metric Tonnes,757.14,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-08-2021,25.00,Metric Tonnes,760.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-08-2021,12.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-08-2021,93.00,Metric Tonnes,674.19,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-08-2021,83.00,Metric Tonnes,536.14,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,17-08-2021,49.00,Metric Tonnes,663.27,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-08-2021,56.00,Metric Tonnes,570.54,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-08-2021,49.00,Metric Tonnes,536.73,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-08-2021,7.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,21-08-2021,72.00,Metric Tonnes,606.25,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,22-08-2021,40.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,23-08-2021,70.00,Metric Tonnes,657.86,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,24-08-2021,64.00,Metric Tonnes,573.44,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-08-2021,70.00,Metric Tonnes,428.57,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,26-08-2021,51.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-08-2021,60.00,Metric Tonnes,642.50,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-08-2021,38.00,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,30-08-2021,64.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,31-08-2021,47.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,01-09-2021,68.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-09-2021,56.00,Metric Tonnes,532.14,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-09-2021,10.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-09-2021,85.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-09-2021,39.00,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-09-2021,65.00,Metric Tonnes,540.77,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-09-2021,37.00,Metric Tonnes,660.81,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-09-2021,51.00,Metric Tonnes,897.06,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-09-2021,62.00,Metric Tonnes,845.16,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-09-2021,92.00,Metric Tonnes,672.83,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-09-2021,44.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-09-2021,61.00,Metric Tonnes,482.79,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-09-2021,15.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-09-2021,36.00,Metric Tonnes,705.56,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-09-2021,55.00,Metric Tonnes,824.55,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-09-2021,69.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-09-2021,58.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-09-2021,8.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,21-09-2021,49.00,Metric Tonnes,800.00,Rs./Quintal
